state,Vote,votes,winner,fips,area_name,state_abbreviation,"Population, 2014 estimate","Population, 2010 (April 1) estimates base","Population, percent change - April 1, 2010 to July 1, 2014","Population, 2010","Persons under 5 years, percent, 2014","Persons under 18 years, percent, 2014","Persons 65 years and over, percent, 2014","Female persons, percent, 2014","White alone, percent, 2014","Black or African American alone, percent, 2014","American Indian and Alaska Native alone, percent, 2014","Asian alone, percent, 2014","Native Hawaiian and Other Pacific Islander alone, percent, 2014","Two or More Races, percent, 2014","Hispanic or Latino, percent, 2014","White alone, not Hispanic or Latino, percent, 2014","Living in same house 1 year & over, percent, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent, age 5+, 2009-2013","High school graduate or higher, percent of persons age 25+, 2009-2013","Bachelor's degree or higher, percent of persons age 25+, 2009-2013","Veterans, 2009-2013","Mean travel time to work (minutes), workers age 16+, 2009-2013","Housing units, 2014","Homeownership rate, 2009-2013","Housing units in multi-unit structures, percent, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Households, 2009-2013","Persons per household, 2009-2013","Per capita money income in past 12 months (2013 dollars), 2009-2013","Median household income, 2009-2013","Persons below poverty level, percent, 2009-2013","Private nonfarm establishments, 2013","Private nonfarm employment, 2013","Private nonfarm employment, percent change, 2012-2013","Nonemployer establishments, 2013","Total number of firms, 2007","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Manufacturers shipments, 2007 ($1,000)","Merchant wholesaler sales, 2007 ($1,000)","Retail sales, 2007 ($1,000)","Retail sales per capita, 2007","Accommodation and food services sales, 2007 ($1,000)","Building permits, 2014","Land area in square miles, 2010","Population per square mile, 2010"
Georgia,0.91,82576.0,Hillary Clinton,13000,Georgia,,10097343,9688681,4.2,9687653,6.6,24.7,12.4,51.2,62.1,31.5,0.5,3.8,0.1,2.0,9.3,54.3,83.6,9.7,13.3,84.7,28.0,690208,27.0,4151190,65.1,20.5,151300,3518097,2.71,25182,49179,18.2,217559,3458050,2.0,816360,901105,20.4,0.7,5.1,0.1,3.6,30.9,144280774,141962359,117516907,12326,16976235,39423,57513.49,168.4
Hawaii,0.785,11458.0,Bernie Sanders,15000,Hawaii,,1419561,1360301,4.4,1360301,6.4,21.7,16.1,49.4,26.7,2.5,0.4,37.5,10.0,23.0,10.1,23.0,84.9,17.9,25.4,90.4,30.1,112625,26.0,530106,57.6,38.1,503100,449771,2.96,29305,67402,11.2,31622,502530,2.1,98490,120374,0.9,1.3,47.2,9.5,3.6,31.0,8799266,8894672,17611851,13793,8042210,3066,6422.63,211.8
Idaho,1.0,7336.0,Bernie Sanders,16000,Idaho,,1634464,1567652,4.3,1567582,7.0,26.4,14.3,49.9,93.5,0.8,1.7,1.4,0.2,2.3,12.0,82.8,82.8,5.9,10.4,88.8,25.1,122955,20.0,685099,69.8,14.9,162100,579797,2.68,22568,46767,15.5,43124,509986,3.3,115043,151671,0.2,0.9,0.8,0.0,2.6,23.5,18010976,14286715,20526631,13691,2415951,8797,82643.12,19.0
Illinois,0.665,366954.0,Hillary Clinton,17000,Illinois,,12880580,12831587,0.4,12830632,6.1,23.2,13.9,50.9,77.5,14.7,0.6,5.3,0.1,1.8,16.7,62.3,86.8,13.8,22.3,87.3,31.4,727919,28.0,5307222,67.5,32.9,182300,4772723,2.63,29666,56797,14.1,315364,5209070,1.7,928461,1123817,9.5,0.5,5.3,0.1,5.0,30.5,257760713,231082768,165450520,12947,25469026,20579,55518.93,231.1
Indiana,0.653,59649.0,Hillary Clinton,18000,Indiana,,6596855,6484192,1.7,6483802,6.4,24.0,14.3,50.7,86.1,9.6,0.4,2.0,0.1,1.9,6.6,80.3,84.9,4.7,8.2,87.2,23.2,455105,23.2,2829532,70.0,18.5,122800,2481793,2.55,24635,48248,15.4,143515,2555979,1.7,390233,482847,4.6,0.5,1.8,0.0,1.8,26.8,221877814,67634947,78745589,12408,11669759,17816,35826.11,181.0
Iowa,0.727,12122.0,Hillary Clinton,19000,Iowa,,3107126,3046869,2.0,3046355,6.3,23.4,15.8,50.3,92.1,3.4,0.5,2.2,0.1,1.7,5.6,87.1,84.8,4.5,7.2,91.0,25.7,226175,18.8,1362124,72.2,18.4,124300,1226547,2.42,27027,51843,12.4,80581,1305216,0.9,203763,259931,0.8,0.2,1.1,0.1,0.9,25.5,97592051,41068338,39234649,13172,4737719,10256,55857.13,54.5
Kansas,0.716,8117.0,Bernie Sanders,20000,Kansas,,2904021,2853132,1.8,2853118,6.9,24.9,14.3,50.2,86.8,6.3,1.2,2.8,0.1,2.8,11.4,76.8,83.2,6.7,11.0,89.8,30.3,211113,19.0,1248813,67.5,17.7,128400,1110440,2.51,26929,51332,13.7,73816,1150401,1.4,190838,237040,2.4,0.9,2.0,0.0,2.4,27.5,76751828,45863865,34538332,12444,4192347,7459,81758.72,34.9
Kentucky,0.628,64090.0,Hillary Clinton,21000,Kentucky,,4413457,4339349,1.7,4339367,6.3,22.9,14.8,50.8,88.3,8.2,0.3,1.4,0.1,1.8,3.4,85.4,84.8,3.3,5.0,83.0,21.5,312365,22.8,1950382,68.4,18.0,120400,1694996,2.5,23462,43036,18.8,90675,1507375,1.8,274987,337600,3.1,0.3,1.6,0.0,1.1,25.6,119105421,74680759,50405925,11843,6300866,9536,39486.34,109.9
Louisiana,0.88,40601.0,Hillary Clinton,22000,Louisiana,,4649676,4533479,2.6,4533372,6.6,23.9,13.6,51.1,63.4,32.5,0.8,1.8,0.1,1.5,4.8,59.3,85.8,3.9,8.7,82.6,21.8,304271,24.9,2010868,67.0,18.3,138900,1707852,2.6,24442,44874,19.1,104375,1687956,2.7,348367,375808,15.9,0.7,2.8,0.0,2.9,27.4,205054723,51415553,56543203,12921,9729869,15255,43203.9,104.9
Maine,1.0,190.0,Bernie Sanders,23000,Maine,,1330089,1328361,0.1,1328361,4.9,19.5,18.3,51.0,95.0,1.4,0.7,1.2,0.0,1.6,1.5,93.8,86.4,3.4,6.8,91.1,27.9,126842,23.3,727632,71.8,19.2,174500,553823,2.33,26824,48453,13.6,40257,487313,0.1,109260,150389,0.5,0.5,0.7,0.0,0.7,25.6,16363192,8823719,20444031,15520,2515827,3242,30842.92,43.1
